synthetic_raw_id,synthetic_final_id,nnunet_case_id,source_case_id,generation_run_id,modality,nnunet_channel,raw_source_path,normalized_target_path,nnunet_target_path,output_suffix_scheme,suffix_conversion_action,qc_decision,accepted_for_training,accepted_for_ablation_only,needs_regeneration
BraTS-MET-00007-000_fake_label_1,SYN-MET-000001,SYNMET000001,BraTS-MET-00007-000,g2_synthetic_smoke_run_20260614,t1n,0000,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00007-000_fake_label_1/BraTS-MET-00007-000_fake_label_1-t1n.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000001/SYN-MET-000001-t1n.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000001_0000.nii.gz,mixed,reject_mixed_suffix_scheme,rejected,False,False,True
BraTS-MET-00007-000_fake_label_1,SYN-MET-000001,SYNMET000001,BraTS-MET-00007-000,g2_synthetic_smoke_run_20260614,t1c,0001,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00007-000_fake_label_1/BraTS-MET-00007-000_fake_label_1-t1c.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000001/SYN-MET-000001-t1c.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000001_0001.nii.gz,mixed,reject_mixed_suffix_scheme,rejected,False,False,True
BraTS-MET-00007-000_fake_label_1,SYN-MET-000001,SYNMET000001,BraTS-MET-00007-000,g2_synthetic_smoke_run_20260614,t2w,0002,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00007-000_fake_label_1/BraTS-MET-00007-000_fake_label_1-scan_t2.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000001/SYN-MET-000001-t2w.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000001_0002.nii.gz,mixed,reject_mixed_suffix_scheme,rejected,False,False,True
BraTS-MET-00007-000_fake_label_1,SYN-MET-000001,SYNMET000001,BraTS-MET-00007-000,g2_synthetic_smoke_run_20260614,t2f,0003,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00007-000_fake_label_1/BraTS-MET-00007-000_fake_label_1-scan_flair.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000001/SYN-MET-000001-t2f.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000001_0003.nii.gz,mixed,reject_mixed_suffix_scheme,rejected,False,False,True
BraTS-MET-00007-000_fake_label_1,SYN-MET-000001,SYNMET000001,BraTS-MET-00007-000,g2_synthetic_smoke_run_20260614,seg,label,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00007-000_fake_label_1/BraTS-MET-00007-000_fake_label_1-seg.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000001/SYN-MET-000001-seg.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/labelsTr/SYNMET000001.nii.gz,mixed,reject_mixed_suffix_scheme,rejected,False,False,True
BraTS-MET-00009-000_fake_label_0,SYN-MET-000002,SYNMET000002,BraTS-MET-00009-000,g2_synthetic_smoke_run_20260614,t1n,0000,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00009-000_fake_label_0/BraTS-MET-00009-000_fake_label_0-t1n.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000002/SYN-MET-000002-t1n.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000002_0000.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False
BraTS-MET-00009-000_fake_label_0,SYN-MET-000002,SYNMET000002,BraTS-MET-00009-000,g2_synthetic_smoke_run_20260614,t1c,0001,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00009-000_fake_label_0/BraTS-MET-00009-000_fake_label_0-t1c.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000002/SYN-MET-000002-t1c.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000002_0001.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False
BraTS-MET-00009-000_fake_label_0,SYN-MET-000002,SYNMET000002,BraTS-MET-00009-000,g2_synthetic_smoke_run_20260614,t2w,0002,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00009-000_fake_label_0/BraTS-MET-00009-000_fake_label_0-t2w.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000002/SYN-MET-000002-t2w.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000002_0002.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False
BraTS-MET-00009-000_fake_label_0,SYN-MET-000002,SYNMET000002,BraTS-MET-00009-000,g2_synthetic_smoke_run_20260614,t2f,0003,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00009-000_fake_label_0/BraTS-MET-00009-000_fake_label_0-t2f.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000002/SYN-MET-000002-t2f.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/SYNMET000002_0003.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False
BraTS-MET-00009-000_fake_label_0,SYN-MET-000002,SYNMET000002,BraTS-MET-00009-000,g2_synthetic_smoke_run_20260614,seg,label,/tmp/g2_synthetic_smoke_run_20260614/BraTS-MET-00009-000_fake_label_0/BraTS-MET-00009-000_fake_label_0-seg.nii.gz,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/synthetic_normalized/SYN-MET-000002/SYN-MET-000002-seg.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/labelsTr/SYNMET000002.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False
