synthetic_raw_id,synthetic_final_id,nnunet_case_id,source_case_id,generation_run_id,modality,nnunet_channel,raw_source_path,normalized_target_path,nnunet_target_path,output_suffix_scheme,suffix_conversion_action,qc_decision,accepted_for_training,accepted_for_evaluation,pending_review,needs_regeneration
BraTS-MET-00554-000,BraTS-MET-00554-000,BraTSMET_000285,BraTS-MET-00554-000,run_3104668,t1n,0000,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00554-000/BraTS-MET-00554-000-t1n.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00554-000/BraTS-MET-00554-000-t1n.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000285_0000.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00554-000,BraTS-MET-00554-000,BraTSMET_000285,BraTS-MET-00554-000,run_3104668,t1c,0001,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00554-000/BraTS-MET-00554-000-t1c.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00554-000/BraTS-MET-00554-000-t1c.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000285_0001.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00554-000,BraTS-MET-00554-000,BraTSMET_000285,BraTS-MET-00554-000,run_3104668,t2w,0002,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00554-000/BraTS-MET-00554-000-t2w.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00554-000/BraTS-MET-00554-000-t2w.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000285_0002.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00554-000,BraTS-MET-00554-000,BraTSMET_000285,BraTS-MET-00554-000,run_3104668,t2f,0003,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00554-000/BraTS-MET-00554-000-t2f.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00554-000/BraTS-MET-00554-000-t2f.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000285_0003.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00554-000,BraTS-MET-00554-000,BraTSMET_000285,BraTS-MET-00554-000,run_3104668,seg,label,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00554-000/BraTS-MET-00554-000-seg.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00554-000/BraTS-MET-00554-000-seg.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/labelsTr/BraTSMET_000285.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00555-000,BraTS-MET-00555-000,BraTSMET_000286,BraTS-MET-00555-000,run_3104668,t1n,0000,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00555-000/BraTS-MET-00555-000-t1n.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00555-000/BraTS-MET-00555-000-t1n.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000286_0000.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00555-000,BraTS-MET-00555-000,BraTSMET_000286,BraTS-MET-00555-000,run_3104668,t1c,0001,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00555-000/BraTS-MET-00555-000-t1c.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00555-000/BraTS-MET-00555-000-t1c.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000286_0001.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00555-000,BraTS-MET-00555-000,BraTSMET_000286,BraTS-MET-00555-000,run_3104668,t2w,0002,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00555-000/BraTS-MET-00555-000-t2w.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00555-000/BraTS-MET-00555-000-t2w.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000286_0002.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00555-000,BraTS-MET-00555-000,BraTSMET_000286,BraTS-MET-00555-000,run_3104668,t2f,0003,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00555-000/BraTS-MET-00555-000-t2f.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00555-000/BraTS-MET-00555-000-t2f.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000286_0003.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00555-000,BraTS-MET-00555-000,BraTSMET_000286,BraTS-MET-00555-000,run_3104668,seg,label,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00555-000/BraTS-MET-00555-000-seg.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00555-000/BraTS-MET-00555-000-seg.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/labelsTr/BraTSMET_000286.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00556-000,BraTS-MET-00556-000,BraTSMET_000287,BraTS-MET-00556-000,run_3104668,t1n,0000,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00556-000/BraTS-MET-00556-000-t1n.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00556-000/BraTS-MET-00556-000-t1n.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000287_0000.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00556-000,BraTS-MET-00556-000,BraTSMET_000287,BraTS-MET-00556-000,run_3104668,t1c,0001,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00556-000/BraTS-MET-00556-000-t1c.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00556-000/BraTS-MET-00556-000-t1c.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000287_0001.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00556-000,BraTS-MET-00556-000,BraTSMET_000287,BraTS-MET-00556-000,run_3104668,t2w,0002,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00556-000/BraTS-MET-00556-000-t2w.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00556-000/BraTS-MET-00556-000-t2w.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000287_0002.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00556-000,BraTS-MET-00556-000,BraTSMET_000287,BraTS-MET-00556-000,run_3104668,t2f,0003,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00556-000/BraTS-MET-00556-000-t2f.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00556-000/BraTS-MET-00556-000-t2f.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000287_0003.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00556-000,BraTS-MET-00556-000,BraTSMET_000287,BraTS-MET-00556-000,run_3104668,seg,label,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00556-000/BraTS-MET-00556-000-seg.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00556-000/BraTS-MET-00556-000-seg.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/labelsTr/BraTSMET_000287.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_training,True,False,False,False
BraTS-MET-00558-000,BraTS-MET-00558-000,BraTSMET_000289,BraTS-MET-00558-000,run_3104668,t1n,0000,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G1/results/missing_t2w_completion/run_3104668/BraTS-MET-00558-000/BraTS-MET-00558-000-t1n.nii.gz,work_space/G2/results/synthetic_normalized/BraTS-MET-00558-000/BraTS-MET-00558-000-t1n.nii.gz,nnunet_raw/Dataset261_BraTS2026_MET_RealSynth/imagesTr/BraTSMET_000289_0000.nii.gz,native_2026,keep_native_2026_suffix,accepted_for_evaluation,False,True,False,False
